player_id,first_step_distance_in,first_step_time_ms,second_step_distance_in,second_step_time_ms,knee_bend_angle_deg,hip_height_in,elbow_bend_angle_deg,hand_to_defender_in
0,65.3391845703125,100.0,1.031264305114746,533.3333333333334,175.07563167663915,62.156454467773436,164.55179267332196,9.879355809152296
1,114.60010986328125,66.66666666666667,63.1945068359375,100.0,173.41385261709732,62.186773681640624,162.73307179927093,9.917744971737731
2,81.53452758789062,66.66666666666667,95.38302612304688,100.0,171.9267395673745,61.192770385742186,157.9688423865387,12.011958826708714
3,55.97171630859375,66.66666666666667,83.62577514648437,100.0,176.2129939861301,47.957183837890625,166.74044557658664,24.920605621775625
4,39.47021484375,33.333333333333336,115.35384521484374,66.66666666666667,173.9911213127338,61.974920654296874,163.10760309338463,10.125152587154776
5,20.645170593261717,33.333333333333336,55.30614013671875,66.66666666666667,169.72079098283888,61.007373046875,161.3851361561147,12.94950616131085
6,20.130625915527343,33.333333333333336,37.56688537597656,100.0,175.30369280626016,59.25712280273437,160.97268798734711,19.385521025062907
7,3.6876041412353517,33.333333333333336,3.6420536041259766,66.66666666666667,179.27399274450318,73.33668212890625,171.81338375130343,19.34583190584484
8,32.588836669921875,133.33333333333334,59.46077880859375,166.66666666666669,176.18550776440992,92.00879211425782,162.0188074032254,31.839387822465095
9,92.34771118164062,33.333333333333336,32.57581481933594,133.33333333333334,176.62002384186704,92.16363220214843,159.5876033076189,31.991389608300572
10,93.68045654296876,33.333333333333336,76.35308837890625,166.66666666666669,172.64977406334344,33.418731689453125,166.34972101674464,5.607975207382048
11,6.16868896484375,33.333333333333336,31.970138549804688,133.33333333333334,172.4634021368127,73.98856201171876,141.93703322049237,14.729790251271208
12,69.21273803710938,33.333333333333336,69.17313232421876,66.66666666666667,160.58989748796736,58.73215942382812,155.40961581822964,9.702293478995117
13,76.60025024414062,33.333333333333336,55.250970458984376,66.66666666666667,177.33974304152756,34.48206787109375,159.02420100769524,3.752378804907626
